title,genres,platforms,playtime,rating,released,summary,tags
Grand Theft Auto V,Strategy,"PC, PlayStation 5, Xbox Series S/X, PlayStation 4, PlayStation 3, Xbox 360, Xbox One",74,89,2013-09-17,"grand theft auto v. Genres: Strategy. Available on: PC, PlayStation 5, Xbox Series S/X, PlayStation 4, PlayStation 3, Xbox 360, Xbox One. Released: 2013-09-17","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Co-op"
The Witcher 3: Wild Hunt,"Action, RPG","PlayStation 5, Xbox Series S/X, macOS, PlayStation 4, Nintendo Switch, PC, Xbox One",43,92,2015-05-18,"the witcher 3 wild hunt. Genres: Action, RPG. Available on: PlayStation 5, Xbox Series S/X, macOS, PlayStation 4, Nintendo Switch, PC, Xbox One. Released: 2015-05-18","Singleplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, Third Person"
Portal 2,"Shooter, Puzzle","PlayStation 3, PC, Xbox 360, Linux, macOS, Xbox One",11,91,2011-04-18,"portal 2. Genres: Shooter, Puzzle. Available on: PlayStation 3, PC, Xbox 360, Linux, macOS, Xbox One. Released: 2011-04-18","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Co-op"
Counter-Strike: Global Offensive,Shooter,"PC, Linux, Xbox 360, PlayStation 3",64,71,2012-08-21,"counter strike global offensive. Genres: Shooter. Available on: PC, Linux, Xbox 360, PlayStation 3. Released: 2012-08-21","Steam Achievements, Multiplayer, Full controller support, steam-trading-cards, Co-op, cooperative, First-Person, FPS"
Tomb Raider (2013),Action,"PlayStation 3, Xbox 360, macOS, PC, Xbox One, PlayStation 4",10,81,2013-03-05,"tomb raider. Genres: Action. Available on: PlayStation 3, Xbox 360, macOS, PC, Xbox One, PlayStation 4. Released: 2013-03-05","Singleplayer, Multiplayer, Full controller support, Atmospheric, RPG, Third Person, Exploration, Classic"
Portal,"Action, Puzzle","macOS, PC, Android, PlayStation 3, Xbox 360, Linux, Nintendo Switch",4,89,2007-10-09,"portal. Genres: Action, Puzzle. Available on: macOS, PC, Android, PlayStation 3, Xbox 360, Linux, Nintendo Switch. Released: 2007-10-09","Singleplayer, Steam Achievements, Atmospheric, Great Soundtrack, Story Rich, First-Person, Sci-fi, Partial Controller Support"
Left 4 Dead 2,"Action, Shooter","Xbox 360, Linux, PC, macOS",9,81,2009-11-17,"left 4 dead 2. Genres: Action, Shooter. Available on: Xbox 360, Linux, PC, macOS. Released: 2009-11-17","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Co-op, cooperative"
The Elder Scrolls V: Skyrim,"Action, RPG","PC, Xbox Series S/X, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3",46,88,2011-11-11,"the elder scrolls v skyrim. Genres: Action, RPG. Available on: PC, Xbox Series S/X, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3. Released: 2011-11-11","Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich"
Red Dead Redemption 2,Action,"PC, PlayStation 4, Xbox One",21,91,2018-10-26,"red dead redemption 2. Genres: Action. Available on: PC, PlayStation 4, Xbox One. Released: 2018-10-26","Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Co-op, Story Rich, Open World, First-Person"
BioShock Infinite,"Action, Shooter","PlayStation 4, Xbox 360, Nintendo Switch, Linux, PC, PlayStation 3, Xbox One",12,87,2013-03-26,"bioshock infinite. Genres: Action, Shooter. Available on: PlayStation 4, Xbox 360, Nintendo Switch, Linux, PC, PlayStation 3, Xbox One. Released: 2013-03-26","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG"
